keV  freq
8.2  1.581058e-12
8.7  1.508642e-9
9.2  5.495672e-7
9.7  0.0000469
10.2  0.0020241
10.7  0.0317526
11.2  0.3754795
11.7  2.827767
12.2  17.06041
12.7  73.7378
13.2  277.0343
13.7  842.0763
14.2  2291.863
14.7  5268.66
15.2  11240.85
15.7  21357.72
16.2  38236.56
16.7  62522.57
17.2  97766.19
17.7  142942.8
18.2  202750.2
18.7  274185.2
19.2  361762
19.7  459824.6
20.2  572965.9
20.7  693442.8
21.2  826437.2
21.7  962961.6
22.2  1.108425e+6
22.7  1.253611e+6
23.2  1.404833e+6
23.7  1.550679e+6
24.2  1.695849e+6
24.7  1.828781e+6
25.2  1.963537e+6
25.7  2.096003e+6
26.2  2.224645e+6
26.7  2.342133e+6
27.2  2.455353e+6
27.7  2.558651e+6
28.2  2.658531e+6
28.7  2.744897e+6
29.2  2.824012e+6
29.7  2.889758e+6
30.2  2.950416e+6
30.7  3.004274e+6
31.2  3.055747e+6
31.7  3.098659e+6
32.2  3.136612e+6
32.7  3.165195e+6
33.2  3.191064e+6
33.7  3.207719e+6
34.2  3.220661e+6
34.7  3.227669e+6
35.2  3.230452e+6
35.7  3.228782e+6
36.2  3.225207e+6
36.7  3.215288e+6
37.2  3.203526e+6
37.7  3.187833e+6
38.2  3.170880e+6
38.7  3.148417e+6
39.2  3.124702e+6
39.7  3.101337e+6
40.2  3.074374e+6
40.7  3.044813e+6
41.2  3.014719e+6
41.7  2.981166e+6
42.2  2.947402e+6
42.7  2.913494e+6
43.2  2.877397e+6
43.7  2.840616e+6
44.2  2.802972e+6
44.7  2.765567e+6
45.2  2.726880e+6
45.7  2.688284e+6
46.2  2.649770e+6
46.7  2.609474e+6
47.2  2.569152e+6
47.7  2.528652e+6
48.2  2.487458e+6
48.7  2.447244e+6
49.2  2.407803e+6
49.7  2.366060e+6
50.2  2.324894e+6
50.7  2.283420e+6
51.2  2.243408e+6
51.7  2.201959e+6
52.2  2.161492e+6
52.7  2.122061e+6
53.2  2.081893e+6
53.7  2.042152e+6
54.2  2.003349e+6
54.7  1.963159e+6
55.2  1.923548e+6
55.7  1.883776e+6
56.2  1.845505e+6
56.7  1.806838e+6
57.2  1.769039e+6
57.7  1.731836e+6
58.2  3.261858e+6
58.7  1.656823e+6
59.2  4.359061e+6
59.7  1.582664e+6
60.2  1.545899e+6
60.7  1.510387e+6
61.2  1.473891e+6
61.7  1.438236e+6
62.2  1.402613e+6
62.7  1.368018e+6
63.2  1.333076e+6
63.7  1.299236e+6
64.2  1.265530e+6
64.7  1.230695e+6
65.2  1.196913e+6
65.7  1.164466e+6
66.2  1.130873e+6
66.7  1.097680e+6
67.2  1.978983e+6
67.7  1.032520e+6
68.2  999939.7
68.7  968087.3
69.2  1.175155e+6
69.7  882487.3
70.2  852533.2
70.7  822739.7
71.2  792077.2
71.7  762215.6
72.2  733182.8
72.7  702317.3
73.2  672080
73.7  641921.2
74.2  612076.5
74.7  581432.6
75.2  551327.3
75.7  520838.5
76.2  489385.5
76.7  458711.5
77.2  427988.3
77.7  393545.1
78.2  359752.8
78.7  326027.7
79.2  293290.6
79.7  260163.7
80.2  226380.5
80.7  171946.2
81.2  104654.8
81.7  38830.8
