keV  freq
7.8  1.144029e-15
8.3  6.185823e-12
8.8  5.888149e-9
9.3  1.315599e-6
9.8  0.0001121
10.3  0.0034522
10.8  0.0548816
11.3  0.5608418
11.8  4.227173
12.3  22.80126
12.8  98.57488
13.3  344
13.8  1043.658
14.3  2678.3
14.8  6144.748
15.3  12571.11
15.8  23847.64
16.3  41299.66
16.8  67371.1
17.3  102832.1
17.8  150054.1
18.3  208979.4
18.8  282330.1
19.3  367067.5
19.8  465591.2
20.3  573929.1
20.8  693543.1
21.3  818980.3
21.8  952352.5
22.3  1.088777e+6
22.8  1.229786e+6
23.3  1.368870e+6
23.8  1.510267e+6
24.3  1.641554e+6
24.8  1.767291e+6
25.3  1.892888e+6
25.8  2.018468e+6
26.3  2.133631e+6
26.8  2.244514e+6
27.3  2.345854e+6
27.8  2.442911e+6
28.3  2.530378e+6
28.8  2.610239e+6
29.3  2.677758e+6
29.8  2.737773e+6
30.3  2.789916e+6
30.8  2.838412e+6
31.3  2.881906e+6
31.8  2.920104e+6
32.3  2.950418e+6
32.8  2.976574e+6
33.3  2.994006e+6
33.8  3.007304e+6
34.3  3.014229e+6
34.8  3.018550e+6
35.3  3.017183e+6
35.8  3.012713e+6
36.3  3.005344e+6
36.8  2.993784e+6
37.3  2.978515e+6
37.8  2.962906e+6
38.3  2.941757e+6
38.8  2.917840e+6
39.3  2.894489e+6
39.8  2.868620e+6
40.3  2.840352e+6
40.8  2.810993e+6
41.3  2.778473e+6
41.8  2.745253e+6
42.3  2.711627e+6
42.8  2.676205e+6
43.3  2.640207e+6
43.8  2.604626e+6
44.3  2.566620e+6
44.8  2.528554e+6
45.3  2.491211e+6
45.8  2.452345e+6
46.3  2.413139e+6
46.8  2.373516e+6
47.3  2.333999e+6
47.8  2.293327e+6
48.3  2.253064e+6
48.8  2.214321e+6
49.3  2.173873e+6
49.8  2.133004e+6
50.3  2.093395e+6
50.8  2.052833e+6
51.3  2.011976e+6
51.8  1.972704e+6
52.3  1.932652e+6
52.8  1.893551e+6
53.3  1.854838e+6
53.8  1.815532e+6
54.3  1.776603e+6
54.8  1.738261e+6
55.3  1.698931e+6
55.8  1.660225e+6
56.3  1.622599e+6
56.8  1.584318e+6
57.3  1.546893e+6
57.8  2.320816e+6
58.3  1.473138e+6
58.8  1.436275e+6
59.3  2.815728e+6
59.8  1.363188e+6
60.3  1.326813e+6
60.8  1.290767e+6
61.3  1.255712e+6
61.8  1.220385e+6
62.3  1.185058e+6
62.8  1.150667e+6
63.3  1.116050e+6
63.8  1.081852e+6
64.3  1.048271e+6
64.8  1.013530e+6
65.3  979913.5
65.8  946775.4
66.3  912851.1
66.8  879520.6
67.3  1.319032e+6
67.8  812819.5
68.3  779838.3
68.8  747404.9
69.3  837154.2
69.8  668215.4
70.3  637130.5
70.8  604190.1
71.3  572105
71.8  541068
72.3  507573.2
72.8  474741
73.3  442054.3
73.8  406512.4
74.3  370460
74.8  334606.6
75.3  299884.1
75.8  264555.9
76.3  228744.4
76.8  169128.9
77.3  97546.71
77.8  27559.38
